id;start_date;end_date;language
1;2019-08-21T22:41:29;2019-08-22T01:17:54;ENGLISH
2;2019-08-21T22:45:33;2019-08-22T08:13:30;FRENCH
3;2019-08-21T21:47:14;2019-08-22T00:52:32;SPANISH
4;2019-08-22T02:43:47;2019-08-21T21:49:36;ENGLISH
5;2019-08-22T00:54:44;2019-08-22T03:35:07;SPANISH
6;2019-08-21T19:03:40;2019-08-21T14:23:34;ENGLISH
7;2019-08-22T10:18:47;2019-08-22T01:58:20;ENGLISH
8;2019-08-21T19:16:39;2019-08-21T21:10:52;FRENCH
9;2019-08-21T22:40:11;2019-08-22T08:21:34;ENGLISH
10;2019-08-22T07:44:08;2019-08-21T22:25:17;FRENCH
