id;uuid;permalink;name;alsoknownas;shortdescription;description;profileimageid;primaryrole;rolecompany;roleinvestor;rolegroup;roleschool;foundedon;foundedontrustcode;closedon;closedontrustcode;numemployeesmin;numemployeesmax;totalfundingusd;totalfundingvnd;stockexchange;stocksymbol;numberofinvestments;createdat;updatedat;permalinkaliases;investortype;contactemail;phonenumber;rank;primaryimageid;ownedbyid;headquartersid;acquiredbyid;ipoid;domain;homepageurl;facebookurl;twitterurl;linkedinurl;cityname;regionname;countrycode
1;5cf2bc99-2721-407d-992b-a00fbdf302f2;methodology Albania;Home Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;59241;Refined Rubber Chicken Table;false;false;true;true;2019-08-21T14:20:57;56328;2019-08-21T18:07:22;38541;30461;1596;9767;23089;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;66252;2019-08-21T19:23:44;2019-08-22T06:02:35;Costa Rica Mayotte;Industrial;connect Markets Chief;capacitor archive;57044;19598;52083;4522;96117;32533;scale interactive generating;Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic
2;54a5ab9a-4e87-461f-bdcb-83c4708b6107;red;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;69478;JSON;true;true;false;true;2019-08-22T10:59:32;87146;2019-08-22T02:34:03;80367;21844;18657;41650;89255;Ghana back-end National;Direct;27213;2019-08-22T08:03:13;2019-08-21T21:58:47;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;32320;21876;51879;55810;70301;40383;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate
3;33bc57af-a68d-41cd-a582-b0d95a30b8c3;deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;9310;Customer Human deposit;false;false;false;true;2019-08-21T20:06:05;84666;2019-08-21T15:59:37;85632;88708;40450;77987;88777;bypassing Marketing;Dynamic Home Loan Account Tools;10147;2019-08-21T14:57:40;2019-08-21T21:36:01;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;36646;64963;74417;84922;72093;65761;Nevada;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska
4;ca02ff7f-4ee5-4b0f-a568-f9ffd14463d4;Bedfordshire;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;70891;France protocol;false;true;false;true;2019-08-21T22:50:52;91324;2019-08-22T11:33:57;51134;518;50151;62789;79829;deposit;extend Unbranded Fresh Pants Tools;57886;2019-08-22T11:16:07;2019-08-22T03:00:03;Argentine Peso implementation;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;12706;32665;52224;82786;76999;27154;Orchestrator;Refined Intelligent Granite Shirt;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating
5;bb602e27-4381-4b2a-a4af-8ba869b60395;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;43385;integrate Personal Loan Account;true;true;false;false;2019-08-22T04:32:01;1530;2019-08-21T22:30:13;93343;50313;50103;85648;53937;Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York;94023;2019-08-21T18:18:05;2019-08-21T23:42:46;incubate deposit Station;parsing Investment Account;Branding Dynamic black;yellow;37725;1822;3896;9444;61825;68300;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte;interface Cotton Robust
6;95de8d36-acbc-4316-a887-d654e1600fed;granular;Quality Applications Missouri;Practical Gorgeous;knowledge user Danish Krone;Data neural Wooden;93092;Associate Designer;false;false;true;true;2019-08-22T00:25:20;35091;2019-08-21T20:35:04;11706;96865;14299;68803;76151;Auto Loan Account Refined Practical;Centralized revolutionize International;14660;2019-08-22T11:34:18;2019-08-22T01:12:16;Visionary;exploit transition;User-centric Principal Pennsylvania;repurpose Sleek;77714;37798;55840;70508;42422;24872;array supply-chains Advanced;Parkway Handmade Wooden Cheese;quantifying;synthesize Idaho Markets;Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu
7;fe148bf1-82a3-4b47-bab9-6eb0e4ff0e67;Money Market Account;Mouse;Junctions one-to-one;analyzing holistic;Architect;69816;Falkland Islands (Malvinas);false;false;true;true;2019-08-21T21:05:27;27095;2019-08-22T09:37:17;13318;91092;7620;82253;94053;models New Mexico District;Accountability;86606;2019-08-22T00:17:10;2019-08-22T12:26:20;Grocery;transmit Ways;Shirt Credit Card Account disintermediate;transmitting Tennessee Practical Steel Shirt;13385;27340;1367;5637;7535;86472;haptic Producer Agent;Rhode Island capacitor;navigating Ergonomic Falls;User-friendly;Savings Account;SMTP;Checking Account global Steel;Borders Springs connecting
8;4dd8f81e-c692-4706-8c9a-bc3e290f599a;Jamaica Unbranded;real-time Berkshire solid state;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;62080;frictionless orchid;true;false;false;false;2019-08-22T00:37:48;12887;2019-08-22T02:28:53;12804;58476;15190;40030;13882;deposit Chicken best-of-breed;RSS Buckinghamshire Officer;60193;2019-08-22T08:54:33;2019-08-22T08:09:06;hacking;even-keeled Chair;Brazil;Island cyan;36426;12874;50341;33009;69039;32158;Licensed;Credit Card Account Sleek;Sausages streamline Home;primary quantify Chips;Guyana;Bedfordshire Auto Loan Account back-end;monitor Small Wooden Ball;feed
9;ed8b801d-7586-4314-b620-95d315813e59;Indian Rupee bluetooth;Club Nebraska;Nevada quantify architectures;empower;customized payment;57077;dot-com;true;false;true;true;2019-08-22T07:49:51;753;2019-08-22T11:04:53;22533;15285;36535;24595;48780;hacking;scalable;17337;2019-08-22T12:11:18;2019-08-21T16:00:07;Small Andorra infomediaries;Executive Regional Wisconsin;TCP parsing Networked;feed;82086;92937;71845;55676;53503;57161;stable override;Director;channels Buckinghamshire Open-source;pixel;asymmetric Montana Sausages;internet solution Checking Account;bleeding-edge Rubber;Yemen
10;35ac142a-0c19-4779-ac51-eddbf61ebff3;streamline;synthesize Arizona synthesizing;synthesizing;indigo Bacon Mouse;Programmable payment National;31619;Maryland Tanzanian Shilling Lights;true;false;true;false;2019-08-21T22:32:45;30137;2019-08-22T00:34:10;74760;43874;50272;57748;23221;Regional synthesize;Unbranded Concrete Soap Bouvet Island (Bouvetoya);43152;2019-08-21T14:58:06;2019-08-22T05:32:12;array Belize Dollar;optical;Borders reboot;mobile Cheese;31172;70698;24848;77857;74394;14312;salmon;connect USB scalable;Bosnia and Herzegovina generate Creek;syndicate haptic;Bedfordshire;application driver;Credit Card Account Nevada;Persistent transparent Chips
